"","partido_sigla","partido","partido_id","coligacao_id","uf"
"42","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,10000050031,"AC"
"43","PC do B","PARTIDO COMUNISTA DO BRASIL",65,10000050218,"AC"
"44","SOLIDARIEDADE","SOLIDARIEDADE",77,10000050074,"AC"
"45","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,10000050418,"AC"
"46","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,10000050679,"AC"
"47","PC do B","PARTIDO COMUNISTA DO BRASIL",65,10000050220,"AC"
"48","PR","PARTIDO DA REPÚBLICA",22,10000050087,"AC"
"49","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,10000050220,"AC"
"50","DC","DEMOCRACIA CRISTÃ",27,10000050220,"AC"
"51","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,10000050074,"AC"
"52","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,10000050031,"AC"
"53","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,10000050031,"AC"
"54","PODE","PODEMOS",19,10000050031,"AC"
"55","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,10000050074,"AC"
"56","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,10000050087,"AC"
"57","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,10000050418,"AC"
"58","PV","PARTIDO VERDE",43,10000050031,"AC"
"59","PP","PROGRESSISTAS",11,10000050087,"AC"
"60","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,10000050074,"AC"
"61","PMB","PARTIDO DA MULHER BRASILEIRA",35,10000050031,"AC"
"62","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,10000050220,"AC"
"63","PTC","PARTIDO TRABALHISTA CRISTÃO",36,10000050074,"AC"
"64","PR","PARTIDO DA REPÚBLICA",22,10000050074,"AC"
"65","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,10000050418,"AC"
"66","DEM","DEMOCRATAS",25,10000050074,"AC"
"67","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,10000050418,"AC"
"68","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,20000050606,"AL"
"69","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,20000050511,"AL"
"70","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,20000050568,"AL"
"71","AVANTE","AVANTE",70,20000050331,"AL"
"72","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,20000050331,"AL"
"73","PC do B","PARTIDO COMUNISTA DO BRASIL",65,20000050159,"AL"
"74","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,20000050446,"AL"
"75","PTC","PARTIDO TRABALHISTA CRISTÃO",36,20000050446,"AL"
"76","PATRIOTA","PATRIOTA",51,20000050452,"AL"
"77","PSL","PARTIDO SOCIAL LIBERAL",17,20000050452,"AL"
"78","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,20000050446,"AL"
"79","PV","PARTIDO VERDE",43,20000050159,"AL"
"80","PCO","PARTIDO DA CAUSA OPERÁRIA",29,20000050497,"AL"
"81","PC do B","PARTIDO COMUNISTA DO BRASIL",65,20000050176,"AL"
"82","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,20000050447,"AL"
"83","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,20000050606,"AL"
"84","PT","PARTIDO DOS TRABALHADORES",13,20000050176,"AL"
"85","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,20000050718,"AL"
"86","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,20000050577,"AL"
"87","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,20000050447,"AL"
"88","DEM","DEMOCRATAS",25,20000050447,"AL"
"89","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,20000050227,"AL"
"90","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,20000050577,"AL"
"91","REDE","REDE SUSTENTABILIDADE",18,20000050079,"AL"
"92","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,20000050577,"AL"
"93","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,20000050446,"AL"
"94","PPS","PARTIDO POPULAR SOCIALISTA",23,20000050227,"AL"
"95","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,20000050606,"AL"
"96","SOLIDARIEDADE","SOLIDARIEDADE",77,20000050606,"AL"
"97","SOLIDARIEDADE","SOLIDARIEDADE",77,20000050718,"AL"
"98","PP","PROGRESSISTAS",11,20000050446,"AL"
"99","DEM","DEMOCRATAS",25,20000050446,"AL"
"100","PSC","PARTIDO SOCIAL CRISTÃO",20,20000050447,"AL"
"101","PODE","PODEMOS",19,20000050331,"AL"
"102","PODE","PODEMOS",19,20000050577,"AL"
"103","PPL","PARTIDO PÁTRIA LIVRE",54,20000050452,"AL"
"104","PV","PARTIDO VERDE",43,20000050176,"AL"
"105","DC","DEMOCRACIA CRISTÃ",27,20000050718,"AL"
"106","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,20000050444,"AL"
"107","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,20000050447,"AL"
"108","PP","PROGRESSISTAS",11,20000050444,"AL"
"109","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,20000050606,"AL"
"110","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,20000050331,"AL"
"111","PR","PARTIDO DA REPÚBLICA",22,20000050568,"AL"
"112","DC","DEMOCRACIA CRISTÃ",27,20000050227,"AL"
"113","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,20000050447,"AL"
"114","PR","PARTIDO DA REPÚBLICA",22,20000050577,"AL"
"115","PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO",16,20000050330,"AL"
"116","NOVO","PARTIDO NOVO",30,20000050023,"AL"
"117","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,20000050577,"AL"
"118","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,20000050577,"AL"
"119","PSC","PARTIDO SOCIAL CRISTÃO",20,20000050446,"AL"
"120","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,20000050444,"AL"
"121","PCB","PARTIDO COMUNISTA BRASILEIRO",21,20000050511,"AL"
"122","PPS","PARTIDO POPULAR SOCIALISTA",23,20000050577,"AL"
"123","PTC","PARTIDO TRABALHISTA CRISTÃO",36,20000050444,"AL"
"124","PP","PROGRESSISTAS",11,20000050447,"AL"
"125","AVANTE","AVANTE",70,20000050577,"AL"
"126","PTC","PARTIDO TRABALHISTA CRISTÃO",36,20000050447,"AL"
"127","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,20000050577,"AL"
"128","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,20000050446,"AL"
"129","PR","PARTIDO DA REPÚBLICA",22,20000050606,"AL"
"130","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,20000050444,"AL"
"131","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,20000050568,"AL"
"132","PT","PARTIDO DOS TRABALHADORES",13,20000050577,"AL"
"133","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,40000050279,"AM"
"134","PPL","PARTIDO PÁTRIA LIVRE",54,40000050342,"AM"
"135","PSC","PARTIDO SOCIAL CRISTÃO",20,40000050272,"AM"
"136","PPS","PARTIDO POPULAR SOCIALISTA",23,40000050309,"AM"
"137","PC do B","PARTIDO COMUNISTA DO BRASIL",65,40000050768,"AM"
"138","PATRIOTA","PATRIOTA",51,40000050133,"AM"
"139","PSL","PARTIDO SOCIAL LIBERAL",17,40000050463,"AM"
"140","SOLIDARIEDADE","SOLIDARIEDADE",77,40000050342,"AM"
"141","PTC","PARTIDO TRABALHISTA CRISTÃO",36,40000050212,"AM"
"142","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,40000050493,"AM"
"143","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,40000050241,"AM"
"144","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,40000050463,"AM"
"145","AVANTE","AVANTE",70,40000050628,"AM"
"146","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,40000050067,"AM"
"147","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,40000050272,"AM"
"148","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,40000050212,"AM"
"149","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,40000050474,"AM"
"150","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,40000050628,"AM"
"151","PODE","PODEMOS",19,40000050279,"AM"
"152","PV","PARTIDO VERDE",43,40000050239,"AM"
"153","DC","DEMOCRACIA CRISTÃ",27,40000050474,"AM"
"154","DEM","DEMOCRATAS",25,40000050229,"AM"
"155","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,40000050628,"AM"
"156","PR","PARTIDO DA REPÚBLICA",22,40000050342,"AM"
"157","PT","PARTIDO DOS TRABALHADORES",13,40000050768,"AM"
"158","PV","PARTIDO VERDE",43,40000050278,"AM"
"159","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,40000050229,"AM"
"160","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,40000050626,"AM"
"161","PTC","PARTIDO TRABALHISTA CRISTÃO",36,40000050229,"AM"
"162","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,40000050228,"AM"
"163","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,40000050278,"AM"
"164","DEM","DEMOCRATAS",25,40000050228,"AM"
"165","PPL","PARTIDO PÁTRIA LIVRE",54,40000050626,"AM"
"166","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,40000050279,"AM"
"167","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,40000050473,"AM"
"168","PR","PARTIDO DA REPÚBLICA",22,40000050278,"AM"
"169","AVANTE","AVANTE",70,40000050626,"AM"
"170","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,40000050781,"AM"
"171","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,40000050493,"AM"
"172","REDE","REDE SUSTENTABILIDADE",18,40000050272,"AM"
"173","PMB","PARTIDO DA MULHER BRASILEIRA",35,40000050142,"AM"
"174","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,40000050228,"AM"
"175","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,40000050278,"AM"
"176","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,40000050267,"AM"
"177","PP","PROGRESSISTAS",11,40000050342,"AM"
"178","REDE","REDE SUSTENTABILIDADE",18,40000050276,"AM"
"179","REDE","REDE SUSTENTABILIDADE",18,40000050273,"AM"
"180","PODE","PODEMOS",19,40000050214,"AM"
"181","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,40000050276,"AM"
"182","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,40000050103,"AM"
"183","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,40000050119,"AM"
"184","PR","PARTIDO DA REPÚBLICA",22,40000050267,"AM"
"185","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,40000050229,"AM"
"186","PSC","PARTIDO SOCIAL CRISTÃO",20,40000050275,"AM"
"187","SOLIDARIEDADE","SOLIDARIEDADE",77,40000050278,"AM"
"188","PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO",16,40000050030,"AM"
"189","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,40000050463,"AM"
"190","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,40000050119,"AM"
"191","PSC","PARTIDO SOCIAL CRISTÃO",20,40000050273,"AM"
"192","PT","PARTIDO DOS TRABALHADORES",13,40000050119,"AM"
"193","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,40000050103,"AM"
"194","PMB","PARTIDO DA MULHER BRASILEIRA",35,40000050493,"AM"
"195","PP","PROGRESSISTAS",11,40000050267,"AM"
"196","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,40000050273,"AM"
"197","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,40000050278,"AM"
"198","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,40000050279,"AM"
"199","PP","PROGRESSISTAS",11,40000050278,"AM"
"200","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,40000050229,"AM"
"201","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,40000050275,"AM"
"202","PSL","PARTIDO SOCIAL LIBERAL",17,40000050278,"AM"
"203","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,40000050103,"AM"
"204","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,40000050267,"AM"
"205","PPS","PARTIDO POPULAR SOCIALISTA",23,40000050626,"AM"
"206","PT","PARTIDO DOS TRABALHADORES",13,30000050128,"AP"
"207","PPL","PARTIDO PÁTRIA LIVRE",54,30000050520,"AP"
"208","PR","PARTIDO DA REPÚBLICA",22,30000050080,"AP"
"209","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,30000050608,"AP"
"210","PP","PROGRESSISTAS",11,30000050523,"AP"
"211","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,30000050080,"AP"
"212","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,30000050078,"AP"
"213","REDE","REDE SUSTENTABILIDADE",18,30000050499,"AP"
"214","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,30000050622,"AP"
"215","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,30000050683,"AP"
"216","PMB","PARTIDO DA MULHER BRASILEIRA",35,30000050318,"AP"
"217","DEM","DEMOCRATAS",25,30000050588,"AP"
"218","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,30000050608,"AP"
"219","PV","PARTIDO VERDE",43,30000050608,"AP"
"220","PR","PARTIDO DA REPÚBLICA",22,30000050078,"AP"
"221","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,30000050206,"AP"
"222","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,30000050574,"AP"
"223","PPS","PARTIDO POPULAR SOCIALISTA",23,30000050088,"AP"
"224","PTC","PARTIDO TRABALHISTA CRISTÃO",36,30000050683,"AP"
"225","AVANTE","AVANTE",70,30000050588,"AP"
"226","PSC","PARTIDO SOCIAL CRISTÃO",20,30000050384,"AP"
"227","PPL","PARTIDO PÁTRIA LIVRE",54,30000050501,"AP"
"228","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,30000050318,"AP"
"229","PTC","PARTIDO TRABALHISTA CRISTÃO",36,30000050620,"AP"
"230","PODE","PODEMOS",19,30000050643,"AP"
"231","SOLIDARIEDADE","SOLIDARIEDADE",77,30000050501,"AP"
"232","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,30000050518,"AP"
"233","PPL","PARTIDO PÁTRIA LIVRE",54,30000050499,"AP"
"234","PSL","PARTIDO SOCIAL LIBERAL",17,30000050088,"AP"
"235","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,30000050318,"AP"
"236","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,30000050681,"AP"
"237","PP","PROGRESSISTAS",11,30000050458,"AP"
"238","REDE","REDE SUSTENTABILIDADE",18,30000050501,"AP"
"239","PPS","PARTIDO POPULAR SOCIALISTA",23,30000050080,"AP"
"240","REDE","REDE SUSTENTABILIDADE",18,30000050520,"AP"
"241","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,30000050588,"AP"
"242","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,30000050517,"AP"
"243","PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO",16,30000050277,"AP"
"244","PC do B","PARTIDO COMUNISTA DO BRASIL",65,30000050681,"AP"
"245","DEM","DEMOCRATAS",25,30000050520,"AP"
"246","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,30000050574,"AP"
"247","DEM","DEMOCRATAS",25,30000050458,"AP"
"248","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,30000050363,"AP"
"249","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,30000050519,"AP"
"250","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,30000050168,"AP"
"251","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,30000050574,"AP"
"252","SOLIDARIEDADE","SOLIDARIEDADE",77,30000050622,"AP"
"253","PSL","PARTIDO SOCIAL LIBERAL",17,30000050080,"AP"
"254","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,30000050458,"AP"
"255","PT","PARTIDO DOS TRABALHADORES",13,30000050519,"AP"
"256","PT","PARTIDO DOS TRABALHADORES",13,30000050517,"AP"
"257","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,30000050369,"AP"
"258","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,30000050458,"AP"
"259","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,30000050369,"AP"
"260","PC do B","PARTIDO COMUNISTA DO BRASIL",65,30000050369,"AP"
"261","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,30000050683,"AP"
"262","PSC","PARTIDO SOCIAL CRISTÃO",20,30000050458,"AP"
"263","PODE","PODEMOS",19,30000050501,"AP"
"264","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,30000050520,"AP"
"265","AVANTE","AVANTE",70,30000050501,"AP"
"266","PATRIOTA","PATRIOTA",51,30000050588,"AP"
"267","DC","DEMOCRACIA CRISTÃ",27,30000050683,"AP"
"268","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,30000050363,"AP"
"269","PCB","PARTIDO COMUNISTA BRASILEIRO",21,30000050470,"AP"
"270","PP","PROGRESSISTAS",11,30000050520,"AP"
"271","PATRIOTA","PATRIOTA",51,30000050458,"AP"
"272","DC","DEMOCRACIA CRISTÃ",27,30000050574,"AP"
"273","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,30000050369,"AP"
"274","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,30000050683,"AP"
"275","PATRIOTA","PATRIOTA",51,50000050203,"BA"
"276","DC","DEMOCRACIA CRISTÃ",27,50000050210,"BA"
"277","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,50000050032,"BA"
"278","PC do B","PARTIDO COMUNISTA DO BRASIL",65,50000050111,"BA"
"279","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,50000050291,"BA"
"280","NOVO","PARTIDO NOVO",30,50000050018,"BA"
"281","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,50000050612,"BA"
"282","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,50000050210,"BA"
"283","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,50000050150,"BA"
"284","SOLIDARIEDADE","SOLIDARIEDADE",77,50000050532,"BA"
"285","PTC","PARTIDO TRABALHISTA CRISTÃO",36,50000050612,"BA"
"286","DEM","DEMOCRATAS",25,50000050222,"BA"
"287","PV","PARTIDO VERDE",43,50000050222,"BA"
"288","REDE","REDE SUSTENTABILIDADE",18,50000050203,"BA"
"289","PSL","PARTIDO SOCIAL LIBERAL",17,50000050178,"BA"
"290","PATRIOTA","PATRIOTA",51,50000050122,"BA"
"291","PSC","PARTIDO SOCIAL CRISTÃO",20,50000050150,"BA"
"292","AVANTE","AVANTE",70,50000050213,"BA"
"293","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,50000050209,"BA"
"294","PT","PARTIDO DOS TRABALHADORES",13,50000050209,"BA"
"295","REDE","REDE SUSTENTABILIDADE",18,50000050619,"BA"
"296","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,50000050178,"BA"
"297","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,50000050209,"BA"
"298","PTC","PARTIDO TRABALHISTA CRISTÃO",36,50000050604,"BA"
"299","DEM","DEMOCRATAS",25,50000050223,"BA"
"300","PR","PARTIDO DA REPÚBLICA",22,50000050209,"BA"
"301","REDE","REDE SUSTENTABILIDADE",18,50000050122,"BA"
"302","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,50000050178,"BA"
"303","PPL","PARTIDO PÁTRIA LIVRE",54,50000050150,"BA"
"304","PT","PARTIDO DOS TRABALHADORES",13,50000050204,"BA"
"305","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,50000050204,"BA"
"306","PP","PROGRESSISTAS",11,50000050209,"BA"
"307","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,50000050612,"BA"
"308","SOLIDARIEDADE","SOLIDARIEDADE",77,50000050236,"BA"
"309","PPL","PARTIDO PÁTRIA LIVRE",54,50000050236,"BA"
"310","PP","PROGRESSISTAS",11,50000050204,"BA"
"311","PODE","PODEMOS",19,50000050209,"BA"
"312","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,50000050209,"BA"
"313","PMB","PARTIDO DA MULHER BRASILEIRA",35,50000050209,"BA"
"314","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,50000050222,"BA"
"315","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,50000050172,"BA"
"316","PV","PARTIDO VERDE",43,50000050223,"BA"
"317","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,50000050204,"BA"
"318","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,50000050209,"BA"
"319","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,50000050223,"BA"
"320","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,50000050236,"BA"
"321","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,50000050317,"BA"
"322","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,50000050222,"BA"
"323","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,50000050202,"BA"
"324","PV","PARTIDO VERDE",43,50000050216,"BA"
"325","PODE","PODEMOS",19,50000050204,"BA"
"326","PC do B","PARTIDO COMUNISTA DO BRASIL",65,50000050204,"BA"
"327","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,50000050213,"BA"
"328","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,50000050586,"BA"
"329","PSC","PARTIDO SOCIAL CRISTÃO",20,50000050216,"BA"
"330","PSC","PARTIDO SOCIAL CRISTÃO",20,50000050236,"BA"
"331","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,50000050604,"BA"
"332","PPS","PARTIDO POPULAR SOCIALISTA",23,50000050178,"BA"
"333","PMB","PARTIDO DA MULHER BRASILEIRA",35,50000050612,"BA"
"334","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,50000050216,"BA"
"335","PCO","PARTIDO DA CAUSA OPERÁRIA",29,50000050490,"BA"
"336","PT","PARTIDO DOS TRABALHADORES",13,50000050202,"BA"
"337","AVANTE","AVANTE",70,50000050209,"BA"
"338","PP","PROGRESSISTAS",11,50000050202,"BA"
"339","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,50000050216,"BA"
"340","PR","PARTIDO DA REPÚBLICA",22,50000050204,"BA"
"341","PR","PARTIDO DA REPÚBLICA",22,50000050202,"BA"
"342","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,50000050202,"BA"
"343","PC do B","PARTIDO COMUNISTA DO BRASIL",65,50000050202,"BA"
"344","PSL","PARTIDO SOCIAL LIBERAL",17,50000050586,"BA"
"345","DEM","DEMOCRATAS",25,50000050216,"BA"
"346","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,50000050202,"BA"
"347","PT","PARTIDO DOS TRABALHADORES",13,60000050325,"CE"
"348","PTC","PARTIDO TRABALHISTA CRISTÃO",36,60000050528,"CE"
"349","PATRIOTA","PATRIOTA",51,60000050298,"CE"
"350","PPL","PARTIDO PÁTRIA LIVRE",54,60000050322,"CE"
"351","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,60000050534,"CE"
"352","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,60000050042,"CE"
